District,Candidate,Party,Votes
Albert Park,"BLAKEY, Katie",SEX PARTY,1404
Albert Park,"FOLEY, Martin",ALP,12012
Albert Park,"LOPEZ, Mark",Liberal,15234
Albert Park,"YOUNG, Josie",FAMILY FIRST,303
Albert Park,"THOMANN, Serge",,3619
Albert Park,"BIRRELL, Ann",Greens,7218
Albert Park,Rechecked results by voting centre,,
Albert Park,Informal votes,INF,1568
Altona,"NAIN, Brijender",,991
Altona,"HENNESSY, Jill",ALP,22954
Altona,"STRANGWARD, David",Greens,4516
Altona,"ROSE, Mark",Liberal,14944
Altona,"MUMBY, Elizabeth",FAMILY FIRST,1582
Altona,Rechecked results by voting centre,,
Altona,Informal votes,INF,2529
Ballarat East,"ZIBELL, Linda",Greens,5363
Ballarat East,"TAYLOR, Ben",Liberal,15758
Ballarat East,"HOWARD, Geoff",ALP,14076
Ballarat East,"GREVILLE, Gary",FAMILY FIRST,1109
Ballarat East,Rechecked results by voting centre,,
Ballarat East,Informal votes,INF,1636
Ballarat West,"DWYER, Leon",Greens,3876
Ballarat West,"COLTMAN, Craig",Liberal,17230
Ballarat West,"KNIGHT, Sharon",ALP,16446
Ballarat West,"WESLEY, Carl",CA,681
Ballarat West,"BUTTERFIELD, Dale",FAMILY FIRST,1284
Ballarat West,Rechecked results by voting centre,,
Ballarat West,Informal votes,INF,1740
Bass,"LONERGAN, Gerry",ALP,12962
Bass,"SMITH, Ken",Liberal,25098
Bass,"RANKINE, Neil",Greens,4845
Bass,"ROGERS, Bruce",CA,1546
Bass,Rechecked results by voting centre,,
Bass,Informal votes,INF,2243
Bayswater,"STRATIS, Sotiria",SEX PARTY,1256
Bayswater,"PRENDERGAST, Ronald",DLP,456
Bayswater,"TENNANT, James Ludolf",Greens,2873
Bayswater,"COOMBES, Gary",FAMILY FIRST,973
Bayswater,"VICTORIA, Heidi",Liberal,17597
Bayswater,"LOCKWOOD, Peter",ALP,10138
Bayswater,Rechecked results by voting centre,,
Bayswater,Informal votes,INF,1579
Bellarine,"CLAPINSKI, Klaus",DLP,831
Bellarine,"DUFF, Lara",FAMILY FIRST,944
Bellarine,"NEVILLE, Lisa",ALP,16324
Bellarine,"JUHASZ, Stephen",,510
Bellarine,"BALDACCHINO, Judy",Greens,3123
Bellarine,"CHERRY, Mitch",SA,274
Bellarine,"REITER, Kurt",Liberal,17140
Bellarine,"McCALLUM, Nick",CA,665
Bellarine,Rechecked results by voting centre,,
Bellarine,Informal votes,INF,2231
Benalla,"CORDNER HUNT, Kammy",Greens,2756
Benalla,"HUNT, Rochelle",CA,2546
Benalla,"ALLEN, Rowena",ALP,6124
Benalla,"WILLIAMS, Nicholas",,804
Benalla,"SYKES, Bill",Nationals,21072
Benalla,Rechecked results by voting centre,,
Benalla,Informal votes,INF,1398
Benambra,"O'CONNOR, Jennifer",Greens,3658
Benambra,"TILLEY, Bill",Liberal,18424
Benambra,"MACAULAY, Haden",CA,2241
Benambra,"CAVEDON, Robert",FAMILY FIRST,1125
Benambra,"WILLIAMS, John",ALP,7537
Benambra,Rechecked results by voting centre,,
Benambra,Informal votes,INF,1447
Bendigo East,"LEUNIG, Rod",CA,1275
Bendigo East,"ALLAN, Jacinta",ALP,16079
Bendigo East,"HILLIER, Gary",SEX PARTY,824
Bendigo East,"VEITZ, Ben",CDP,275
Bendigo East,"LANGDON, Michael",Liberal,12864
Bendigo East,"GUERRA, Belinda",FAMILY FIRST,447
Bendigo East,"BARDSLEY, Tim",Greens,2295
Bendigo East,"STEWART, James",DLP,412
Bendigo East,"SCHWARZ, Peter",Nationals,2196
Bendigo East,Rechecked results by voting centre,,
Bendigo East,Informal votes,INF,1827
Bendigo West,"PHILLIPS, Trevor",CA,1328
Bendigo West,"WINTLE, Frances",FAMILY FIRST,671
Bendigo West,"OLIVER, Steven",Nationals,7965
Bendigo West,"FOSTER, Anne Lorraine",CDP,361
Bendigo West,"RADFORD, Sue-Ellen",Greens,3999
Bendigo West,"EDWARDS, Maree",ALP,14431
Bendigo West,"DONLON, Anita",Liberal,7343
Bendigo West,"CADDY, Sandra",DLP,584
Bendigo West,Informal votes,INF,2127
Bentleigh,"MILLER, Elizabeth",Liberal,16296
Bentleigh,"COUTTS, Julian",DLP,524
