District,Candidate,Party,Votes
Albert Park,"OKE, Melanie",,571
Albert Park,"MIDDLETON, John",Greens,5774
Albert Park,"BROWNE, Virginia",Liberal,10936
Albert Park,"THWAITES, John",ALP,16053
Albert Park,Informal votes,INF,928
Altona,"LAMBRINAKOS, Steve",Liberal,7349
Altona,"BRIFFA, Tony",Greens,2888
Altona,"KOSKY, Lynne",ALP,21888
Altona,Informal votes,INF,1381
Ballarat East,"KINNEAR, Scott",Greens,4373
Ballarat East,"HALBORG, Valiant",CEC,271
Ballarat East,"FITZGERALD, Gerard",Liberal,12010
Ballarat East,"HOWARD, Geoff",ALP,16268
Ballarat East,"PATHY, Suresh",,402
Ballarat East,Informal votes,INF,1037
Ballarat West,"BACKSTROM, Faye",Greens,2552
Ballarat West,"OVERINGTON, Karen",ALP,19221
Ballarat West,"VERLIN, Judy",Liberal,13461
Ballarat West,"DONKER, Rob",CDP,507
Ballarat West,"SULLIVAN, Geoff",,912
Ballarat West,Informal votes,INF,929
Bass,"LUDLOW, Nikki",Greens,1730
Bass,"NESBIT, Kay",,1401
Bass,"SMITH, Ken",Liberal,13021
Bass,"DAVIES, Susan",,7014
Bass,"ANDERSON, John",ALP,9012
Bass,Informal votes,INF,962
Bayswater,"BANNAN, Jill",Greens,3380
Bayswater,"ASHLEY, Gordon",Liberal,14689
Bayswater,"LOCKWOOD, Peter",ALP,15215
Bayswater,Informal votes,INF,898
Bellarine,"JONES, Catherine",Greens,3804
Bellarine,"NEVILLE, Lisa",ALP,17861
Bellarine,"KELLOWAY, Frank",Liberal,14234
Bellarine,Informal votes,INF,836
Benalla,"SYKES, Bill",Nationals,8414
Benalla,"STEWART, Peter",Greens,1961
Benalla,"ALLEN, Denise",ALP,13129
Benalla,"DWYER, Andrew",Liberal,8306
Benalla,Informal votes,INF,791
Benambra,"MURDOCH, Barb",ALP,11558
Benambra,"SEYMOUR, Hannah",CDP,684
Benambra,"LUCAS, Helen",Greens,2111
Benambra,"PLOWMAN, Tony",Liberal,12179
Benambra,"REID, Geoff",Nationals,3818
Benambra,Informal votes,INF,1119
Bendigo East,"RUFFELL, Lisa",Liberal,9223
Bendigo East,"PETERSEN, David",Greens,2201
Bendigo East,"ALLAN, Jacinta",ALP,18639
Bendigo East,"SPIBY, Tracee",Nationals,2966
Bendigo East,Informal votes,INF,631
Bendigo West,"RALPH, Doug",Greens,3583
Bendigo West,"TAYLOR, Robin",Nationals,3642
Bendigo West,"AUSTERBERRY, Geoff",Liberal,8112
Bendigo West,"CAMERON, Bob",ALP,19865
Bendigo West,Informal votes,INF,888
Bentleigh,"PEULICH, Inga",Liberal,14105
Bentleigh,"MITCHELL, Penny",Greens,3195
Bentleigh,"HALL, Simon Joseph",CEC,271
Bentleigh,"HUDSON, Rob",ALP,15983
Bentleigh,Informal votes,INF,1039
Box Hill,"CHONG, Robert",ALP,12777
Box Hill,"HARRIS, Helen",Greens,5347
Box Hill,"CLARK, Robert",Liberal,15935
Box Hill,Informal votes,INF,943
Brighton,"ASHER, Louise",Liberal,17094
Brighton,"DAVIES, Clive",Greens,5116
Brighton,"SAPIR, Rachelle",ALP,9926
Brighton,Informal votes,INF,765
Broadmeadows,"GIBSON, Bentleigh",Liberal,5035
Broadmeadows,"KALINIY, Joseph",,453
Broadmeadows,"GERADTS, Karin",Greens,1433
Broadmeadows,"YOHANNA, Sleiman",CEC,888
Broadmeadows,"BRUMBY, John",ALP,24060
Broadmeadows,Informal votes,INF,1891
Brunswick,"MORTON, Tony",,857
Brunswick,"TAYLOR, Ken",,752
Brunswick,"McVEY, Judy",SA,573
Brunswick,"GAUCI, Rebecca",Liberal,5375
Brunswick,"CARLI, Carlo",ALP,17075
Brunswick,"BIRD, Steven Maxwell",CEC,154
Brunswick,"CURR, Pamela",Greens,7972
Brunswick,Informal votes,INF,1906
Bulleen,"KOTSIRAS, Nicholas",Liberal,15612
Bulleen,"MIRAS, Chris",ALP,12517
Bulleen,"WRIGHT, Matthew",Greens,3330
Bulleen,Informal votes,INF,1115
Bundoora,"McDONALD, Gayle",Greens,3053
Bundoora,"MELLADO, Walter",CEC,398
Bundoora,"GARBUTT, Sherryl",ALP,18856
Bundoora,"RANDALL, Melanie",Liberal,9381
Bundoora,Informal votes,INF,1239
Burwood,"STENSHOLT, Bob",ALP,15598
