District,Candidate,Party,Votes
Bayswater,"CRAVEN, Susan",ALP,14623
Bayswater,"ASHLEY, Gordon",Liberal,17654
Bellarine,"ERLER, Kerri",ALP,15495
Bellarine,"SPRY, Garry",Liberal,16599
Bellarine,"ERLER, Kerri",ALP,15541
Bellarine,"SPRY, Garry",Liberal,16544
Bendigo East,"JOHN, Michael",Liberal,15004
Bendigo East,"ALLAN, Jacinta",ALP,16977
Bendigo East,"JOHN, Michael",Liberal,15068
Bendigo East,"ALLAN, Jacinta",ALP,16901
Bendigo West,"CAMERON, Bob",ALP,19893
Bendigo West,"CAPPY, Felix",Liberal,12582
Bentleigh,"MALONEY, Cartha",ALP,13897
Bentleigh,"BRUNTON, Nick",Greens,1230
Bentleigh,"KING, Gail",DLP,544
Bentleigh,"PEULICH, Inga",Liberal,15766
Bentleigh,"MALONEY, Cartha",ALP,15090
Bentleigh,"PEULICH, Inga",Liberal,16300
Berwick,"DEAN, Robert",Liberal,22376
Berwick,"REED, Philip J.",ALP,18348
Box Hill,"THORN, Claire L.",ALP,13067
Box Hill,"CLARK, Robert",Liberal,17754
Brighton,"DUNSMUIR, Irene",ALP,10529
Brighton,"ASHER, Louise",Liberal,20061
Broadmeadows,"TAY, Paul",Liberal,8019
Broadmeadows,"BRUMBY, John",ALP,23651
Bulleen,"MIRAS, Christos",ALP,11662
Bulleen,"KOTSIRAS, Nicholas",Liberal,18709
Bundoora,"GARBUTT, Sherryl",ALP,18942
Bundoora,"McCABE, Carol",Liberal,14852
Burwood,"KENNETT, Jeff",Liberal,17858
Burwood,"STENSHOLT, Bob",ALP,13585
Carrum,"LINDELL, Jenny",ALP,17444
Carrum,"LEAN, David",Liberal,17321
Carrum,"LINDELL, Jenny",ALP,17435
Carrum,"LEAN, David",Liberal,17319
Coburg,"CARLI, Carlo",ALP,20951
Coburg,"HRYCEK, Mark",Liberal,8232
Cranbourne,"PERERA, Jude",ALP,16708
Cranbourne,"ROWE, Gary",Liberal,21002
Dandenong North,"LENDERS, John",ALP,17634
Dandenong North,"EMMANOUIL, George",Liberal,12775
Doncaster,"PERTON, Victor",Liberal,20518
Doncaster,"McCALLUM, Jessie",ALP,11892
Dromana,"DIXON, Martin",Liberal,18480
Dromana,"THOMPSON, Diane",ALP,14403
Eltham,"HANNEY, Pam",ALP,17315
Eltham,"PHILLIPS, Wayne",Liberal,19960
Evelyn,"FYFFE, Christine",Liberal,19957
Evelyn,"MARQUEZ-BRIDGER, Natasha",ALP,13571
Forest Hill,"RICHARDSON, John",Liberal,17974
Forest Hill,"BUXTON, Julie L.",ALP,13503
Frankston,"KOCH, Darren Vincent",ALP,11891
Frankston,"McCALL, Andrea",Liberal,18399
Frankston East,"McLEAN, Cherie",Liberal,11603
Frankston East,"VINEY, Matt",ALP,13953
Geelong,"HENDERSON, Ann",Liberal,15484
Geelong,"TREZISE, Ian",ALP,15500
Geelong,"HENDERSON, Ann",Liberal,13004
Geelong,"TREZISE, Ian",ALP,13459
Gippsland East,"INGRAM, Craig",,17317
Gippsland East,"TREASURE, David",Nationals,12690
Gippsland East,"BOLITHO, Bill",ALP,14222
Gippsland East,"TREASURE, David",Nationals,15782
Gippsland South,"RYAN, Peter",Nationals,17238
Gippsland South,"EMANUEL, Howard S.",ALP,12740
Gippsland West,"McRAE, Gerard",Liberal,13934
Gippsland West,"DAVIES, Susan",,16360
Gippsland West,"McRAE, Gerard",Liberal,13971
Gippsland West,"DAVIES, Susan",,16356
Gisborne,"DUNCAN, Joanne",ALP,17371
Gisborne,"KNOWLES, Rob",Liberal,16277
Gisborne,"DUNCAN, Joanne",ALP,17317
