District,Candidate,Party,Votes
Albert Park,"HURLEY, James",SEX PARTY,1263
Albert Park,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,11826
Albert Park,"ARMSTRONG, Steven",,289
Albert Park,"PERKINS, Tex",,1614
Albert Park,"EELES, Shannon",LIBERAL,15177
Albert Park,"COLLIS, David",AUSTRALIAN GREENS,6134
Albert Park,"GEYER, Deborah",FAMILY FIRST,273
Albert Park,Informal votes,INF,1575
Altona,"NAIN, Brijender",,687
Altona,"HIABU, Jemal",VOICE FOR THE WEST,996
Altona,"DE BONO, Chris",AUSTRALIAN GREENS,4220
Altona,"O'NEILL, Anthony",AUSTRALIAN CHRISTIANS,1085
Altona,"SAMARA, Nihal",LIBERAL,13235
Altona,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY,21862
Altona,Informal votes,INF,2425
Bass,"FAIRHURST, Ross",AUSTRALIAN GREENS,3613
Bass,"LE SERVE, Clare",,4289
Bass,"REID, Paul",AUSTRALIAN CHRISTIANS,651
Bass,"PAYNTER, Brian",LIBERAL,18008
Bass,"DORIAN, Angela",RISE UP AUSTRALIA PARTY,524
Bass,"NATHAN, Sanjay",AUSTRALIAN LABOR PARTY,11659
Bass,"AMOR, David",AUSTRALIAN COUNTRY ALLIANCE,969
Bass,Informal votes,INF,2272
Bayswater,"CASS, Jeremy",AUSTRALIAN COUNTRY ALLIANCE,583
Bayswater,"SMYTH, Robert",ANIMAL JUSTICE PARTY,1313
Bayswater,"CONWAY, Tristan",AUSTRALIAN CHRISTIANS,785
Bayswater,"DIB, Tony",AUSTRALIAN LABOR PARTY,12927
Bayswater,"TENNANT, James",AUSTRALIAN GREENS,3355
Bayswater,"VICTORIA, Heidi",LIBERAL,18811
Bayswater,"CARBONARI, John",,385
Bayswater,Informal votes,INF,2040
Bellarine,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,16818
Bellarine,"HUNTER, Rhiannon",SEX PARTY,631
Bellarine,"PEAKE, Brenton",AUSTRALIAN GREENS,3639
Bellarine,"NELSON, Ron",LIBERAL,15678
Bellarine,"KEENAN, Robert",FAMILY FIRST,572
Bellarine,"DAWSON, Christopher",RISE UP AUSTRALIA PARTY,178
Bellarine,"WILLIAMS, Joshua",SHOOTERS AND FISHERS PARTY VICTORIA,490
Bellarine,"IRVINE, John",AUSTRALIAN COUNTRY ALLIANCE,436
Bellarine,"KACINSKAS, Gus",,169
Bellarine,Informal votes,INF,1964
Benambra,"PODESTA, Jennifer",AUSTRALIAN LABOR PARTY,12273
Benambra,"TILLEY, Bill",LIBERAL,21430
Benambra,"ROURKE, Philip",AUSTRALIAN COUNTRY ALLIANCE,1973
Benambra,"WELLARD, Richard",AUSTRALIAN GREENS,3568
Benambra,Informal votes,INF,1863
Bendigo East,"BICKLEY, Greg",LIBERAL,16492
Bendigo East,"DOWLING, Cameron",AUSTRALIAN COUNTRY ALLIANCE,714
Bendigo East,"BELL, Lynette Kay",RISE UP AUSTRALIA PARTY,550
Bendigo East,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,18651
Bendigo East,"ALDEN, Jennifer",AUSTRALIAN GREENS,2935
Bendigo East,"BRADSHAW, Glenis",FAMILY FIRST,963
Bendigo East,Informal votes,INF,1456
Bendigo West,"MOSKALEWICZ, Amanda",FAMILY FIRST,1311
Bendigo West,"LANGDON, Michael",LIBERAL,12328
Bendigo West,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY,18247
Bendigo West,"BROWNSTEIN, John",AUSTRALIAN GREENS,4482
Bendigo West,"CADDY, Sandra",RISE UP AUSTRALIA PARTY,692
Bendigo West,"CHAPMAN, Elise",AUSTRALIAN COUNTRY ALLIANCE,1071
Bendigo West,Informal votes,INF,1753
Bentleigh,"MULCAHY, Sean",AUSTRALIAN GREENS,3842
Bentleigh,"TELEMZOUGUER, Sofia",PEOPLE POWER VICTORIA/NO SMART METERS,260
Bentleigh,"CLARK, David",FAMILY FIRST,451
Bentleigh,"McCAWLEY, Ross James",SEX PARTY,688
Bentleigh,"STAIKOS, Nick",AUSTRALIAN LABOR PARTY,14025
Bentleigh,"OJHA, Chandra",,271
Bentleigh,"MOLDOVAN, Kelley",RISE UP AUSTRALIA PARTY,124
Bentleigh,"MILLER, Elizabeth",LIBERAL,16669
Bentleigh,Informal votes,INF,2010
Box Hill,"REALE, Frank",AUSTRALIAN CHRISTIANS,978
Box Hill,"PERRI, Stefanie",AUSTRALIAN LABOR PARTY,11964
Box Hill,"PEMBERTON, Bill",AUSTRALIAN GREENS,5649
Box Hill,"STOKIE, Geoffrey",,470
Box Hill,"CLARK, Robert",LIBERAL,19944
Box Hill,Informal votes,INF,1520
Brighton,"ASHER, Louise",LIBERAL,21145
Brighton,"TOUZEAU, Jane",,1350
Brighton,"BEAVIS, Margaret",AUSTRALIAN GREENS,6619
Brighton,"CRAWFORD, Louise",AUSTRALIAN LABOR PARTY,8973
Brighton,Informal votes,INF,1425
Broadmeadows,"KNIGHT, Wayne",FAMILY FIRST,2221
Broadmeadows,"McGUIRE, Frank",AUSTRALIAN LABOR PARTY,21584
Broadmeadows,"DE LOMA-OSORIO RICON, Jaime",AUSTRALIAN GREENS,1884
Broadmeadows,"HASSAN, Mohamed",VOICE FOR THE WEST,1642
Broadmeadows,"ONDER, Evren",LIBERAL,5797
Broadmeadows,"RINALDI, John",,508
Broadmeadows,Informal votes,INF,3133
Brunswick,"READ, Tim",AUSTRALIAN GREENS,16001
Brunswick,"YOUNG, Ward",ANIMAL JUSTICE PARTY,714
Brunswick,"GIURLEO, Frank",FAMILY FIRST,396
Brunswick,"GARRETT, Jane",AUSTRALIAN LABOR PARTY,15318
Brunswick,"O'CALLAGHAN, Dean",,491
Brunswick,"VELLOTTI, Giuseppe",LIBERAL,6554
Brunswick,"KARIOFYLLIDIS, Stella",PEOPLE POWER VICTORIA/NO SMART METERS,670
Brunswick,"PETERS, Babar",AUSTRALIAN CHRISTIANS,214
Brunswick,Informal votes,INF,2089
Bulleen,"CRONLY, Ben",AUSTRALIAN GREENS,3824
Bulleen,"RUNDELL, Adam",AUSTRALIAN LABOR PARTY,11859
Bulleen,"ARAPOGLOU, Eleni",AUSTRALIAN CHRISTIANS,1452
Bulleen,"GUY, Matthew",LIBERAL,21983
Bulleen,Informal votes,INF,2018
Bundoora,"STANYON, Clement",AUSTRALIAN GREENS,3592
Bundoora,"GILL, Amita",LIBERAL,11822
Bundoora,"WIDDOWSON, James",FAMILY FIRST,1338
Bundoora,"BROOKS, Colin",AUSTRALIAN LABOR PARTY,18628
Bundoora,Informal votes,INF,1682
Buninyong,"SMITH, Sonia",THE NATIONALS,2301
Buninyong,"TAYLOR, Ben",LIBERAL,12829
Buninyong,"GEYER, Keith",FAMILY FIRST,950
Buninyong,"KEAYS, James Donovan",AUSTRALIAN COUNTRY ALLIANCE,622
Buninyong,"GOODFELLOW, Tony",AUSTRALIAN GREENS,4017
Buninyong,"HOWARD, Geoff",AUSTRALIAN LABOR PARTY,15984
